,상권_구분_코드_명,상권_코드_명,분기당_매출_금액,분기당_매출_건수
252,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
253,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
254,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
255,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
256,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
257,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
258,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
259,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
260,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
261,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
262,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
263,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
264,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
265,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
266,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
267,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
268,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
269,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
270,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
271,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
272,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
273,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
274,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
275,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
276,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
277,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
278,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
279,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
280,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
281,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
282,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
283,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
284,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
285,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
286,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
287,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
288,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
289,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
290,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
291,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
292,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
293,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
294,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
295,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
296,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
297,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
298,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
299,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
300,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
301,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
302,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
303,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
304,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
305,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
306,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
307,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
308,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
309,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
310,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
311,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
312,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
313,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
314,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
315,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
316,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
317,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
318,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
319,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
320,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
321,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
322,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
323,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
324,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
325,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
326,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
327,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
328,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
329,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
330,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
331,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
